supplier,no_ordered,weapon_designation,weapon_descr,years_of_ordered,year_delivered,no_delivered,comments
Belgium,119,Cockerill-3105 105mm,tank turret,2014,2019-2022,(55),Part of EUR3.2 b deal; for 119 LAV-700 FSV AFSV from Canada
France,3,A-330 MRTT,tanker/transport aircraft,2008,2011-2012,(3),Delivered via Spain
France,3,A-330 MRTT,tanker/transport aircraft,2009,2014-2015,3,Delivered via Spain
Germany,(80),vehicle engine,vehicle engine,2006,2010-2011,(80),MB OM-366 (240hp) diesel engine for 80 CAESAR self-propelled guns from France
Germany,(20),vehicle engine,vehicle engine,(2009),2011,(20),MB OM-366 (240hp) diesel engine for 20 CAESAR self-propelled guns from France
Germany,(32),vehicle engine,vehicle engine,2011,2013-2014,(32),MB OM-366 (240hp) diesel engine for 32 CAESAR self-propelled guns from France
Germany,(24),vehicle engine,vehicle engine,2018,2018,(24),MB OM-366 (240hp) diesel engine for 24 CAESAR self-propelled guns from France
Italy,(5),Super Rapid 76mm,naval gun,(2017),,,For 4 MMSC frigates from USA
Italy,5,Super Rapid 76mm,naval gun,(2018),2022,3,For 5 Avante-2200 frigates from Spain
Switzerland,55,PC-21,trainer aircraft,2012,2014-2016,55,Part of GBP1.6 b ($2.5 b) deal; ordered via UK company
United Kingdom,3,air refuel system,air refuel system,2008,2011-2012,(3),For 3 A-330 MRTT tanker/transport aircraft from France
United Kingdom,3,air refuel system,air refuel system,2009,2014-2015,(3),For 3 A-330 MRTT tanker/transport aircraft from France
United States,(6),CF6,turbofan,2008,2011-2012,(6),For 3 A-330 MRTT tanker/transport aircraft from France
United States,(6),CF6,turbofan,2009,2014-2015,(6),For 3 A-330 MRTT tanker/transport aircraft from France
United States,(742),vehicle engine,vehicle engine,2014,2018-2021,(665),C-13 (711hp) diesel engine; for 742 LAV-700 armoured vehicles from Canada
Austria,(50),MMV,APC,2014,2015-2016,(50),
France,39,HSI-32,patrol craft,2018,2020-2022,(39),Incl production under licence of 18 in Saudi Arabia
France,19,HSI-32,patrol craft,2020,,,Incl 9 produced under licence in Saudi Arabia; delivery planned by 2023
Turkiye,(46),Karayel,armed UAV,2020,2020-2022,(9),
United Kingdom,(50),MSTAR,ground surv radar,(1997),1998-2000,(50),Assembled from kits in Saudi Arabia
Austria,(37),M12 120mm,mortar,(2008),2010,37,
Belgium,130,LCTS-90 90mm,tank turret,2000,2000-2004,(130),For 130 Piranha LAV-90 (LAV-AG) AFSV from Canada
Belgium,(10),LCTS-90 90mm,tank turret,(2006),2006,(10),For Piranha (LAV-AG) AFSV from Canada
Belgium,84,LCTS-90 90mm,tank turret,(2009),2011-2014,(84),For 84 Piranha (LAV-90 or LAV-AG) AFSV from Canada
